rt,responses,type,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,comparison_type,correct_side
null,,,html-keyboard-response,125,551767,0.0-125.0,"<h1 style=""font-size: 35px"">WIDOW</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SKILLET</h1>",null,,
994.175,,,html-keyboard-response,126,553512,0.0-126.0,"<h1 style=""font-size: 35px;"">BARLEY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>WIDOW</h1>",76,"0,16",1
null,,,html-keyboard-response,127,558284,0.0-127.0,"<h1 style=""font-size: 35px"">LIGHTNING</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CARROT</h1>",null,,
1471.285,,,html-keyboard-response,128,560510,0.0-128.0,"<h1 style=""font-size: 35px;"">SKILLET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CRUTCH</h1>",65,"2,16",0
null,,,html-keyboard-response,129,565283,0.0-129.0,"<h1 style=""font-size: 35px"">SHERIFF</h1><h1 style=""font-size: 35px; margin-top: 45px;"">LETTUCE</h1>",null,,
1349.925,,,html-keyboard-response,130,567385,0.0-130.0,"<h1 style=""font-size: 35px;"">RABBIT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>LIGHTNING</h1>",65,"2,68",1
null,,,html-keyboard-response,131,572142,0.0-131.0,"<h1 style=""font-size: 35px"">COTTAGE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">LUNCH</h1>",null,,
821.75,,,html-keyboard-response,132,573715,0.0-132.0,"<h1 style=""font-size: 35px;"">CARROT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>COTTAGE</h1>",76,"0,4",1
null,,,html-keyboard-response,133,578484,0.0-133.0,"<h1 style=""font-size: 35px"">CIGAR</h1><h1 style=""font-size: 35px; margin-top: 45px;"">POET</h1>",null,,
953.68,,,html-keyboard-response,134,580193,0.0-134.0,"<h1 style=""font-size: 35px;"">LUNCH<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SHERIFF</h1>",65,"2,4",0
null,,,html-keyboard-response,135,584971,0.0-135.0,"<h1 style=""font-size: 35px"">SLOPE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">VALLEY</h1>",null,,
686.31,,,html-keyboard-response,136,586422,0.0-136.0,"<h1 style=""font-size: 35px;"">SLOPE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>LIZARD</h1>",65,"0,many",0
null,,,html-keyboard-response,137,591184,0.0-137.0,"<h1 style=""font-size: 35px"">MARKET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CAPTIVE</h1>",null,,
622.135,,,html-keyboard-response,138,592562,0.0-138.0,"<h1 style=""font-size: 35px;"">MARKET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>HOOD</h1>",65,"0,16",0
