rt,responses,type,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,comparison_type,correct_side
1334.535,,,html-keyboard-response,54,240466,0.0-54.0,"<h1 style=""font-size: 35px;"">LUNCH<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FILM</h1>",76,,
null,,,html-keyboard-response,55,245224,0.0-55.0,"<h1 style=""font-size: 35px"">BRICK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BUTCHER</h1>",null,,
1198,,,html-keyboard-response,56,247178,0.0-56.0,"<h1 style=""font-size: 35px;"">BRICK<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SHOULDER</h1>",65,,
null,,,html-keyboard-response,57,251936,0.0-57.0,"<h1 style=""font-size: 35px"">NAPKIN</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GALLON</h1>",null,,
909.935,,,html-keyboard-response,58,253602,0.0-58.0,"<h1 style=""font-size: 35px;"">NAPKIN<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>RADISH</h1>",65,,
null,,,html-keyboard-response,59,258363,0.0-59.0,"<h1 style=""font-size: 35px"">WHISKERS</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FRIAR</h1>",null,,
1925.795,,,html-keyboard-response,60,261042,0.0-60.0,"<h1 style=""font-size: 35px;"">SLOPE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>RUG</h1>",76,,
null,,,html-keyboard-response,61,265800,0.0-61.0,"<h1 style=""font-size: 35px"">BARLEY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">LUMBER</h1>",null,,
1162.315,,,html-keyboard-response,62,267714,0.0-62.0,"<h1 style=""font-size: 35px;"">BUTCHER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>MISSILE</h1>",65,,
null,,,html-keyboard-response,63,272473,0.0-63.0,"<h1 style=""font-size: 35px"">LADY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">LODGE</h1>",null,,
984.13,,,html-keyboard-response,64,274211,0.0-64.0,"<h1 style=""font-size: 35px;"">LUMBER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>LODGE</h1>",76,,
null,,,html-keyboard-response,65,278969,0.0-65.0,"<h1 style=""font-size: 35px"">CATCHER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">HARP</h1>",null,,
2533.69,,,html-keyboard-response,66,282259,0.0-66.0,"<h1 style=""font-size: 35px;"">THREAD<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CRUTCH</h1>",76,,
null,,,html-keyboard-response,67,287011,0.0-67.0,"<h1 style=""font-size: 35px"">JOURNAL</h1><h1 style=""font-size: 35px; margin-top: 45px;"">JUDGE</h1>",null,,
1848.21,,,html-keyboard-response,68,289611,0.0-68.0,"<h1 style=""font-size: 35px;"">CATCHER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>LADY</h1>",65,,
null,,,html-keyboard-response,69,294370,0.0-69.0,"<h1 style=""font-size: 35px"">CLOTHES</h1><h1 style=""font-size: 35px; margin-top: 45px;"">DOUGHNUT</h1>",null,,
2167.56,,,html-keyboard-response,70,297291,0.0-70.0,"<h1 style=""font-size: 35px;"">DOUGHNUT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FRIAR</h1>",65,,
null,,,html-keyboard-response,71,302052,0.0-71.0,"<h1 style=""font-size: 35px"">BURGLAR</h1><h1 style=""font-size: 35px; margin-top: 45px;"">OINTMENT</h1>",null,,
1867.675,,,html-keyboard-response,72,304675,0.0-72.0,"<h1 style=""font-size: 35px;"">JOURNAL<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PISTON</h1>",65,,
null,,,html-keyboard-response,73,309430,0.0-73.0,"<h1 style=""font-size: 35px"">COOK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">ZIPPER</h1>",null,,
4440.805,,,html-keyboard-response,74,314627,0.0-74.0,"<h1 style=""font-size: 35px;"">GALLON<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>ORCHID</h1>",65,"16,many",0
null,,,html-keyboard-response,75,319380,0.0-75.0,"<h1 style=""font-size: 35px"">BRANCH</h1><h1 style=""font-size: 35px; margin-top: 45px;"">HAWK</h1>",null,,
